"Gainsboro" DCDCDC
"Gamboge" E49B0F
"Gamboge orange" 996600
"Gargoyle Gas" FFDF46
"Generic viridian" 007F66
"Ghost white" F8F8FF
"Giant's Club" B05C52
"Giants orange" FE5A1D
"Ginger" B06500
"Glaucous" 6082B6
"Glitter" E6E8FA
"Glossy Grape" AB92B3
"GO green" 00AB66
"Gold (metallic)" D4AF37
"Gold (web)" FFD700
"Gold Fusion" 85754E
"Golden brown" 996515
"Golden poppy" FCC200
"Golden yellow" FFDF00
"Goldenrod" DAA520
"Granite Gray" 676767
"Granny Smith Apple" A8E4A0
"Grape" 6F2DA8
"Gray" 808080
"Gray (web)" 808080
"Gray (X11)" BEBEBE
"Gray-asparagus" 465945
"Gray-blue" 8C92AC
"Green (X11)" 00FF00
"Green (Crayola)" 1CAC78
"Green (web)" 008000
"Green (Munsell)" 00A877
"Green (NCS)" 009F6B
"Green (Pantone)" 00AD43
"Green (pigment)" 00A550
"Green (RYB)" 66B032
"Green-blue" 1164B4
"Green-cyan" 009966
"Green Lizard" A7F432
"Green Sheen" 6EAEA1
"Green-yellow" ADFF2F
"Grizzly" 885818
"Grullo" A99A86
"Guppie green" 00FF7F
"Gunmetal" 2a3439
"Halayà úbe" 663854
"Han blue" 446CCF
"Han purple" 5218FA
"Hansa yellow" E9D66B
"Harlequin" 3FFF00
"Harlequin green" 46CB18
"Harvard crimson" C90016
"Harvest gold" DA9100
"Heart Gold" 808000
"Heat Wave" FF7A00
"Heidelberg Red" 960018
"Heliotrope" DF73FF
"Heliotrope gray" AA98A9
"Heliotrope magenta" AA00BB
"Hollywood cerise" F400A1
"Honeydew" F0FFF0
"Honolulu blue" 006DB0
"Hooker's green" 49796B
"Hot magenta" FF1DCE
"Hot pink" FF69B4
"Hunter green" 355E3B
"Iceberg" 71A6D2
"Icterine" FCF75E
"Iguana Green" 71BC78
"Illuminating Emerald" 319177
"Imperial" 602F6B
"Imperial blue" 002395
"Imperial purple" 66023C
"Imperial red" ED2939
"Inchworm" B2EC5D
"Independence" 4C516D
"India green" 138808
"Indian red" CD5C5C
"Indian yellow" E3A857
"Indigo" 4B0082
"Indigo dye" 091F92
"Indigo (web)" 4B0082
"Infra Red" FF496C
"Interdimensional Blue" 360CCC
"International Klein Blue" 002FA7
"International orange (aerospace)" FF4F00
"International orange (engineering)" BA160C
